name,domain,description,sdgs,cover_image_id,street_adress,latitude,longitude,id,homepage
Drohnengestützte Wiederaufforstung für resiliente Waldökosysteme,https://www.skyseed.eco,"Skyseed, mit Sitz in der Rollbergstraße 28a in Berlin, revolutioniert die Wiederaufforstung durch innovative Technologien für den Aufbau artenreicher und klimaresilienter Waldökosysteme. Das Unternehmen kombiniert ökologisches Wissen mit skalierbaren technischen Lösungen, um geschädigte Waldflächen effizient zu regenerieren.

Das Kernprojekt von Skyseed ist die drohnengestützte Direktsaat von speziell pelletierten Samen verschiedener Baum-, Strauch- und Krautarten. Diese naturnahe Methode ahmt den natürlichen Samenfallprozess nach und ermöglicht die Etablierung vielfältiger Mischwälder. Die eigens entwickelten Pellets bestehen aus 100% unbedenklichen organischen Materialien ohne Pestizide oder Polymere und werden vollständig in Deutschland produziert.

Besonders innovativ ist der ganzheitliche Ansatz: Skyseed hat eine eigene Klima-Matrix entwickelt, die 30 Baumarten für verschiedene Regionen Deutschlands auf ihre heutige und zukünftige Klimaeignung bewertet. Dies ermöglicht eine zukunftsorientierte Artenwahl, die den Herausforderungen des Klimawandels standhält.

Die Technologie bietet entscheidende Vorteile gegenüber konventionellen Methoden: Sie ermöglicht den Zugang zu schwer erreichbaren Gebieten wie munitionsbelasteten Truppenübungsplätzen nach Waldbränden oder extremen Steilhängen im alpinen Raum. Zudem können durch die Pelletierung auch feine Samen krautiger Pflanzen ausgebracht werden, die für eine schnelle Bodenbegrünung sorgen und Erosion verhindern.

Ergänzend zur Drohnentechnologie entwickelt Skyseed aktuell einen Forst-Rover, der Saat, Pflanzung und die Einbringung von Steckhölzern am Boden übernehmen kann. Das Gesamtsystem ist konsequent am langfristigen ökologischen Nutzen ausgerichtet.

Die Wirkung des Projekts ist vielfältig: Es fördert die Biodiversität durch Mischwaldstrukturen, schützt das Bodenleben, erhöht die CO₂-Speicherkapazität und trägt zur Klimaresilienz der Wälder bei. Durch die schnelle Wiederbegrünung wird zudem die Kohlenstoff-Senkenleistung gesunder Waldböden erhalten oder verbessert.

Interessierte können das Unternehmen an seinem Standort in Berlin-Neukölln besuchen, um mehr über die innovative Technologie zu erfahren.","9, 13, 15",,"Rollbergstraße 28a, 12053 Berlin",,,1,https://www.skyseed.eco
Pflanzliche Fleischalternativen mit revolutionärer Technologie,https://www.eatplanted.com,"Planted Foods, mit Sitz in der Birkenstraße 22 in Berlin, revolutioniert den Markt für pflanzliche Fleischalternativen durch innovative Technologien. Das Unternehmen kombiniert proprietäre Strukturierungs- und Fermentationstechnologien, um aus Pflanzenproteinen Fleischersatzprodukte herzustellen, die sich durch authentischen Geschmack und fleischähnliche, saftige Textur auszeichnen – und das ausschließlich mit natürlichen Zutaten.

Das Kernproblem, das Planted Foods adressiert, ist die umweltbelastende konventionelle Fleischproduktion. Herkömmliche Tierhaltung verursacht erhebliche Treibhausgasemissionen, Landnutzung und Ressourcenverbrauch. Planted bietet eine nachhaltige Alternative, die bis zu 85% weniger CO₂-Emissionen verursacht als tierische Produkte.

Der Lösungsansatz von Planted Foods ist mehrschichtig: Durch ihre Technologie schaffen sie pflanzliche Produkte, die in Geschmack und Textur tierischem Fleisch so nahe kommen, dass sie für Konsumenten eine echte Alternative darstellen. Gleichzeitig achtet das Unternehmen auf nachhaltige Lieferketten, indem es Rohstoffe vorwiegend aus Westeuropa bezieht und GMO-freie Materialien verwendet. Besonders innovativ ist die Upcycling-Strategie, bei der Nebenprodukte aus anderen Lebensmittelwertschöpfungsketten verwertet werden.

Die Wirkung ist beeindruckend: Planted-Produkte emittieren vier- bis sechsmal weniger CO₂-Äquivalente im Vergleich zu tierischen Produkten. Das ""Planted Chicken"" verursacht beispielsweise nur 2,18 kg CO₂e pro Kilogramm. Durch Optimierung der Produktionsprozesse konnte das Unternehmen Produktverluste um mehr als 90% reduzieren.

Planted Foods setzt auf Skalierung durch Kooperationen mit großen Supermarktketten und Partnern wie Weber Grill, um pflanzliche Ernährung in den Mainstream zu bringen. Als Gründungsmitglied der SPA (Sustainable Plant-based Action) engagiert sich das Unternehmen zudem für branchenweite Nachhaltigkeitsstandards.

Die Produkte von Planted Foods können in Berlin in verschiedenen Supermärkten sowie in ihrem Büro in der Birkenstraße 22, 10559 Berlin, entdeckt werden.","2, 12, 13",,"Birkenstraße 22, 10559 Berlin",,,2,https://www.eatplanted.com
CO2e-Fußabdruck-Kennzeichnung für transparente Lebensmittelentscheidungen,https://www.oatly.com,"Oatly Germany, mit Sitz am Mehringdamm 33 in Berlin, ist das größte Haferdrinkunternehmen der Welt und setzt seit über 25 Jahren auf Expertise rund um Hafer. Das Unternehmen verfolgt einen ganzheitlichen Nachhaltigkeitsansatz, der weit über die Produktion pflanzlicher Milchalternativen hinausgeht.

Ein besonders innovatives Projekt von Oatly ist die CO2e-Fußabdruck-Kennzeichnung auf allen Produkten. In einer Zeit, in der Verbraucher zunehmend klimabewusste Entscheidungen treffen möchten, aber oft nicht über die notwendigen Informationen verfügen, geht Oatly einen mutigen Schritt: Das Unternehmen deklariert transparent die Klimaauswirkungen seiner Produkte direkt auf der Verpackung.

Diese Initiative adressiert ein fundamentales Problem im Lebensmittelsektor: Obwohl die Ernährung einen erheblichen Teil unseres persönlichen CO2-Fußabdrucks ausmacht, fehlen Verbrauchern meist verlässliche Daten für informierte Entscheidungen. Oatly berechnet den vollständigen CO2e-Fußabdruck seiner Produkte über den gesamten Lebenszyklus und macht diese Information für jeden Konsumenten zugänglich.

Doch Oatly geht noch weiter: Das Unternehmen hat eine Unternehmensallianz gegründet, um einen wissenschaftsbasierten, verbindlichen Standard für die CO2e-Kennzeichnung von Lebensmitteln zu entwickeln. Damit treibt Oatly nicht nur die eigene Transparenz voran, sondern arbeitet an einer branchenweiten Lösung.

Die Wirkung dieses Projekts ist mehrschichtig: Es befähigt Verbraucher zu klimabewussteren Kaufentscheidungen, schafft Wettbewerbsdruck für mehr Klimatransparenz in der Lebensmittelindustrie und motiviert Oatly selbst zu kontinuierlichen Verbesserungen. Studien zeigen bereits, dass Oatlys Produkte eine um 65% bis 69% geringere Klimabelastung als vergleichbare Kuhmilchprodukte aufweisen.

Berliner können die Produkte mit der CO2e-Kennzeichnung in zahlreichen Supermärkten und Cafés in der Stadt finden, darunter auch im Flagship-Store am Mehringdamm 33, wo das Unternehmen seinen deutschen Sitz hat.","12, 13, 17",,"Mehringdamm 33, 10961 Berlin",,,3,https://www.oatly.com
Tierfreie Käsealternativen durch Präzisionsfermentation,https://formo.bio/process/,"Formo, ein innovatives europäisches Startup mit Sitz in Berlin und Frankfurt, revolutioniert seit 2019 die Käseherstellung durch bahnbrechende Technologie. Das Unternehmen hat sich der Entwicklung von tierfreien Käsealternativen verschrieben, die Geschmack und Nachhaltigkeit auf einzigartige Weise verbinden.

Das Herzstück von Formos Innovation ist die Präzisionsfermentation - ein biotechnologisches Verfahren, bei dem Mikroorganismen so programmiert werden, dass sie die gleichen Proteine produzieren, die auch in Milch vorkommen, jedoch ohne den Umweg über Tiere. Diese Technologie ermöglicht es Formo, Käsealternativen herzustellen, die in Geschmack, Textur und Nährwertprofil konventionellem Käse in nichts nachstehen.

Das Nachhaltigkeitsproblem, das Formo adressiert, ist vielschichtig: Die konventionelle Milchwirtschaft verursacht erhebliche Treibhausgasemissionen, benötigt große Landflächen und Wasserressourcen und ist mit Tierschutzbedenken verbunden. Durch die Entwicklung tierfreier Alternativen bietet Formo eine Lösung, die den ökologischen Fußabdruck drastisch reduziert und gleichzeitig das Tierwohl fördert.

Besonders bemerkenswert ist Formos ganzheitlicher Nachhaltigkeitsansatz: Neben der innovativen Produktionstechnologie setzt das Unternehmen auf 100% erneuerbare Energie in seinen Betriebsstätten und implementiert ein umfassendes Abfallmanagement. Lebensmittelreste werden an wohltätige Organisationen gespendet oder über ""Too Good To Go"" verteilt, während andere organische Abfälle zur Biogaserzeugung genutzt werden.

Mit dem Start der industriellen Produktion im Jahr 2024 steht Formo an der Schwelle, seine Vision einer nachhaltigeren Ernährungszukunft in größerem Maßstab zu verwirklichen. Das Unternehmen plant, ab 2025 seinen CO2-Fußabdruck über alle Bereiche hinweg zu messen, um seine Umweltauswirkungen kontinuierlich zu optimieren.

Interessierte können Formos Innovationen am Hauptsitz in der Stralauer Allee 10-11 in Berlin-Friedrichshain kennenlernen, wo das Unternehmen seine zukunftsweisende Technologie entwickelt.","12, 13, 15",,"Stralauer Allee 10-11, 10245 Berlin",,,4,https://formo.bio/process/
Biodiversitätsprojekt in Jimma: Nachhaltige Kaffeeproduktion durch Aufforstung,https://www.coffeecircle.com,"Coffee Circle, mit Sitz in der Lindower Straße 18 in Berlin, steht für einen ganzheitlichen Nachhaltigkeitsansatz in der Kaffeeindustrie. Das Unternehmen verfolgt ein Direct-Trade-Prinzip, bei dem es direkt mit Kaffeebauern zusammenarbeitet und dabei faire Preise zahlt – nachweislich 99,38% über dem Fairtrade-Mindestpreis und 145,38% über dem Weltmarktpreis.

Besonders hervorzuheben ist das Biodiversitätsprojekt in Jimma, Äthiopien. In dieser Region hat Coffee Circle ein umfassendes Aufforstungsprogramm initiiert, das mehrere ökologische und soziale Herausforderungen gleichzeitig adressiert. Die Abholzung und der Verlust von Biodiversität bedrohen nicht nur die natürlichen Ökosysteme, sondern auch die langfristige Existenzgrundlage der Kaffeebauern.

Das Projekt umfasst die Pflanzung von Papayabäumen, die Aufbereitung von Bienenstöcken und die Eröffnung von Baumschulen. Insgesamt wurden bereits 500.000 Bäume gepflanzt. Diese Maßnahmen fördern nicht nur die Biodiversität, sondern schaffen auch natürliche Schattenbedingungen für den Kaffeeanbau, was den Einsatz von Pestiziden und Düngemitteln überflüssig macht.

Ergänzend dazu investiert Coffee Circle in Gewächshäuser für Kaffee und verschiedene Baumarten, wodurch mehr als 150.000 Setzlinge gezogen werden konnten. Diese werden für die Landwirtschaft, Aufforstung und als Schattenspender genutzt.

Die Wirkung des Projekts ist vielschichtig: Es schützt die natürlichen Ökosysteme, sichert die Existenzgrundlage der Kaffeebauern durch nachhaltige Anbaumethoden und trägt zum Klimaschutz bei. Zudem fördert es die lokale Wirtschaft und verbessert die Lebensbedingungen der Menschen vor Ort.

Coffee Circle investiert einen Euro pro Kilogramm verkauftem Kaffee in solche Projekte und hat bisher mehr als 4 Millionen Euro in Zusammenarbeit mit Partnern wie dem BMZ und der GIZ in den Anbauländern investiert, wodurch mehr als 750.000 Menschen erreicht wurden.

In Berlin kann man die Produkte von Coffee Circle direkt in ihrem Hauptsitz in der Lindower Straße 18 oder über ihren Online-Shop beziehen und damit dieses nachhaltige Projekt unterstützen.","8, 13, 15",,"Lindower Straße 18, 13347 Berlin",,,5,https://www.coffeecircle.com
Transparente Ökobilanz auf Produktverpackungen,https://www.veganz.de,"Veganz, mit Sitz in der Warschauer Straße 32 in Berlin, hat sich als Pionier für pflanzenbasierte Lebensmittel etabliert. Das Unternehmen verfolgt einen ganzheitlichen Nachhaltigkeitsansatz, indem es ausschließlich vegane Produkte herstellt und dabei innovative Verpackungslösungen einsetzt.

Das herausragende Projekt von Veganz ist die Implementierung des Eaternity Nachhaltigkeitsscores auf ihren Produktverpackungen. Als erstes Unternehmen der Branche druckt Veganz die vollständige Ökobilanz seiner Produkte direkt auf die Verpackung. Der Score berechnet für jedes Produkt vier zentrale Umweltauswirkungen: CO2-Emissionen, Wasserverbrauch, Tierwohl und Regenwaldschutz.

Diese Innovation adressiert ein grundlegendes Problem im Lebensmittelsektor: die fehlende Transparenz bezüglich der Umweltauswirkungen von Produkten. Verbraucher haben normalerweise keine Möglichkeit, die ökologischen Folgen ihrer Kaufentscheidungen einzuschätzen. Der Veganz-Ansatz ermöglicht es Konsumenten, fundierte Entscheidungen zu treffen und ihr Einkaufsverhalten nachhaltiger zu gestalten.

Die praktische Umsetzung erfolgt durch ein leicht verständliches Bewertungssystem auf jeder Produktverpackung. So zeigt Veganz beispielsweise, dass ihre pflanzliche Käse-Alternative mit 473g CO2 pro Packung etwa 25% weniger Emissionen verursacht als herkömmlicher Käse. Diese Transparenz schafft ein neues Bewusstsein für die Umweltauswirkungen von Lebensmitteln.

Die Wirkung dieses Projekts geht über den einzelnen Kaufakt hinaus: Es fördert einen bewussteren Konsum, bildet Verbraucher über Umweltauswirkungen von Lebensmitteln auf und setzt neue Standards für Transparenz in der Lebensmittelindustrie. Zudem motiviert es andere Hersteller, ihre eigenen Umweltauswirkungen zu reduzieren.

Die Produkte mit dem innovativen Ökobilanz-Label können in zahlreichen Supermärkten in Berlin sowie im Veganz-Flagship-Store in der Warschauer Straße 32 besichtigt werden.","12, 13, 15",,"Warschauer Straße 32, 10243 Berlin",,,6,https://www.veganz.de
Klimaneutrales Werk Genshagen: Vorreiter für nachhaltige Getränkeproduktion,https://www.cceag.de,"Coca-Cola Europacific Partners Deutschland GmbH (CCEP DE) ist mit einem Absatz von rund 3,9 Milliarden Litern (2022) das größte deutsche Getränkeunternehmen. Mit 6.500 Mitarbeitenden an 27 Standorten verantwortet das Unternehmen die Abfüllung, den Verkauf und Vertrieb von Coca-Cola Produkten in Deutschland.

Im Rahmen seiner umfassenden Nachhaltigkeitsstrategie hat CCEP DE ein besonders herausragendes Projekt realisiert: Der Produktionsstandort Genshagen wurde als erstes Werk in Deutschland nach dem anerkannten Standard PAS2060:2014 klimaneutral zertifiziert. Diese Zertifizierung ist Teil der ambitionierten Zielsetzung des Unternehmens, bis 2040 vollständig CO2-neutral zu werden (gemessen nach dem GHG-Protokoll, Scope 1-3).

Die Klimaneutralität des Werks Genshagen wurde durch einen ganzheitlichen Ansatz erreicht, der verschiedene Maßnahmen umfasst:
- Umstellung auf 100% Ökostrom, wie an allen Standorten des Unternehmens
- Festlegung konkreter Mess- und Reduktionsziele für CO2-Emissionen
- Integration in die übergeordnete Klimastrategie mit wissenschaftlich fundierten Zielen (Science Based Targets Initiative)

Das Projekt ist Teil eines breiteren Nachhaltigkeitsansatzes, der auch andere Bereiche umfasst:
- Wassermanagement mit einer Reduktion des Wasserverbrauchs pro Liter Getränk um 18,4% seit 2010
- Kreislaufwirtschaft mit einem durchschnittlichen Recyclingmaterialanteil von 41% bei PET-Einwegflaschen
- Umstellung der Logistik mit Verlagerung von Langstreckentransporten auf die Schiene, wodurch zwischen 2020-2022 etwa 5 Millionen LKW-Kilometer und 3.000 Tonnen CO2 eingespart wurden

Die Klimaneutralität des Werks Genshagen demonstriert, dass industrielle Getränkeproduktion in Metropolregionen klimaneutral gestaltet werden kann und setzt damit Maßstäbe für die gesamte Branche. Die Anerkennung durch die CDP A-Liste ""Klima"" in sieben aufeinanderfolgenden Jahren unterstreicht die Vorreiterrolle des Unternehmens im Klimaschutz.","9, 12, 13",,"Stralauer Allee 4, 10245 Berlin",,,7,https://www.cceag.de
Emissionsfreie Lieferung in Metropolregionen durch E-Mobilität,https://www.hellofreshgroup.com/de/,"HelloFresh SE, der weltweit führende Anbieter von Kochboxen mit Hauptsitz in Berlin, revolutioniert nicht nur die Art, wie Menschen kochen, sondern auch wie Lebensmittel nachhaltig in urbanen Räumen transportiert werden können.

Das Unternehmen hat ein umfassendes Konzept zur emissionsfreien Auslieferung entwickelt, das besonders in Metropolregionen wie Berlin zum Einsatz kommt. Der innovative Ansatz kombiniert verschiedene Elektromobilitätslösungen, um die letzte Meile der Lieferkette klimafreundlich zu gestalten.

In der Benelux-Region lieferte HelloFresh 2023 bereits 72% seiner Kochboxen emissionsfrei aus – ein Modell, das sukzessive auf weitere Märkte ausgeweitet wird. Besonders hervorzuheben ist der Einsatz von Elektro-Cargo-Bikes in dicht besiedelten Stadtgebieten in Deutschland, den Niederlanden, Schweden, Irland und Großbritannien. Diese Fahrräder mit elektrischer Unterstützung ermöglichen eine flexible, staufreie und emissionsfreie Zustellung in verkehrsbelasteten Innenstädten.

Ergänzt wird dieses Konzept durch den wachsenden Einsatz von E-Vans für längere Strecken. Die Kombination aus E-Bikes und E-Vans ermöglicht eine optimierte Routenplanung und reduziert nicht nur CO₂-Emissionen, sondern auch Lärm- und Luftbelastung in urbanen Räumen.

Das Projekt geht über die reine Elektrifizierung hinaus: In Deutschland testet HelloFresh zudem eine vollständig gekühlte Lieferkette, die den Einsatz von Isolationsmaterial und Kühlpacks reduziert und damit zusätzlich Verpackungsmaterial einspart. Durch die Kombination von emissionsfreier Lieferung und optimierter Verpackung adressiert HelloFresh gleich mehrere Nachhaltigkeitsherausforderungen im urbanen Lebensmittelhandel.

Die Wirkung ist messbar: Das Unternehmen konnte 2023 weltweit 24.335 Tonnen CO₂e einsparen. Die emissionsfreie Lieferung ist Teil einer umfassenden Nachhaltigkeitsstrategie, die bereits zu einer 56-prozentigen Reduktion der durch die Kochboxenproduktion verursachten Emissionen pro Euro Umsatz seit 2019 geführt hat.

In Berlin kann das Projekt durch die regelmäßig in der Stadt verkehrenden Elektro-Lieferfahrzeuge und Cargo-Bikes mit HelloFresh-Branding beobachtet werden, besonders in den innerstädtischen Bezirken rund um den Firmensitz in der Prinzenstraße 89 in Berlin-Kreuzberg.","11, 12, 13",,"Prinzenstraße 89, 10969 Berlin",,,8,https://www.hellofreshgroup.com/de/
Unverpackt-Pionier: Mehrwegsysteme für eine müllfreie Zukunft,https://www.original-unverpackt.de,"Original Unverpackt, Deutschlands erster und bekanntester Unverpackt-Laden, revolutioniert seit seiner Gründung den Lebensmitteleinzelhandel in Berlin. Das Unternehmen hat ein ganzheitliches Konzept entwickelt, das Verpackungsmüll nahezu vollständig eliminiert und damit ein Vorbild für nachhaltigen Konsum darstellt.

Im Zentrum steht ein innovatives Mehrwegsystem, das den kompletten Einkaufsprozess umfasst. Kunden können entweder eigene Behälter mitbringen oder das hauseigene Pfandsystem nutzen. Dieses ermöglicht auch spontane Einkäufe ohne eigene Behälter und senkt die Einstiegshürde für Neukunden. Die ausleihbaren Pfandgläser in verschiedenen Größen machen das unverpackte Einkaufen für jeden zugänglich und fördern die Verbreitung dieser nachhaltigen Praxis.

Besonders bemerkenswert ist die konsequente Umsetzung des Kreislaufgedankens in der gesamten Lieferkette. Original Unverpackt bezieht Produkte in Großgebinden bis 25 kg und wiederverwendbaren Pfandeimern. Anfallende Verpackungen werden entweder als Packmaterial im Online-Shop wiederverwendet oder an Kunden weitergegeben, die sie als Einkaufshilfen, Aufbewahrungssysteme oder für Kunstprojekte nutzen.

Eine besondere Innovation ist die lokale Wiederbefüllung von zurückgegebenen Mehrweg-Pfandgläsern direkt am Standort. Dies reduziert Transportwege und damit verbundene Emissionen erheblich. Durch die aktive Vernetzung mit lokalen Erzeugern und die Zusammenarbeit mit einem Großhändler, der die Auslieferung der ""letzten Meile"" mit Pfandwagen übernimmt, wird das Mehrwegsystem konsequent weiterentwickelt.

Das Ergebnis ist beeindruckend: Original Unverpackt produziert weniger als 1% des Abfalls, der bei konventionellen Mitbewerbern anfällt. Damit beweist das Unternehmen, dass ein nahezu müllfreier Lebensmittelhandel möglich ist.

Der Laden kann in der Wiener Straße 16 in Berlin-Kreuzberg besucht werden und bietet neben dem Einkaufserlebnis auch Beratung zu nachhaltiger Ernährung und Verpackungsvermeidung.","11, 12, 13",,"Wiener Straße 16, 10999 Berlin",,,9,https://www.original-unverpackt.de
Share-Brillenpartnerschaft: Sehen schenken durch nachhaltigen Konsum,misterspex.de,"Mister Spex, Europas führender digitaler Omnichannel-Optiker mit Sitz in Berlin, verbindet innovative Geschäftsmodelle mit sozialer Verantwortung. Das Unternehmen hat seinen Hauptsitz in der Hermann-Blankenstein-Straße 24 in Berlin und betreibt neben seinem Online-Shop auch zahlreiche stationäre Stores in der Hauptstadt und anderen europäischen Städten.

Ein besonderes Highlight im Nachhaltigkeitsengagement von Mister Spex ist die Partnerschaft mit der Social-Impact-Marke ""share"". Diese Kooperation folgt dem ""Buy One, Give One""-Prinzip: Für jede verkaufte Brille aus der gemeinsamen Kollektion ermöglicht share einem Menschen in Not eine Brille sowie eine augenoptische Grundversorgung. Über 50 verschiedene Brillenmodelle sind Teil dieser Initiative.

Das Projekt adressiert ein globales Gesundheitsproblem: Weltweit haben etwa 2,2 Milliarden Menschen keinen Zugang zu angemessener Sehhilfe, obwohl etwa 80% aller Sehbeeinträchtigungen vermeidbar oder behandelbar wären. Besonders in Entwicklungs- und Schwellenländern fehlt es an grundlegender augenoptischer Versorgung.

Die Lösung von Mister Spex und share verbindet nachhaltigen Konsum mit direkter Hilfe. Kunden in urbanen Zentren wie Berlin können beim Brillenkauf einen konkreten sozialen Beitrag leisten. Die Initiative schafft so eine Brücke zwischen dem Konsumverhalten in Metropolregionen und der Unterstützung benachteiligter Menschen weltweit.

Ergänzt wird dieses Engagement durch weitere Nachhaltigkeitsinitiativen wie die ""Brillen Weltweit""-Sammelaktion, bei der Kunden gebrauchte Brillen für Hilfsbedürftige spenden können, sowie die CO CO-Brillenkollektion aus nachhaltigen Materialien, deren Verkauf das CleanRiver Projekt unterstützt.

Die Share-Brillenpartnerschaft kann in allen Mister Spex Stores in Berlin erlebt werden, unter anderem in den Filialen am Alexanderplatz, in der Friedrichstraße und im KaDeWe.","3, 10, 17",,"Hermann-Blankenstein-Straße 24, 10249 Berlin",,,10,https://misterspex.de
